organism	gene	modification	new_id	old_id	random_id	protein_length_new	protein_length_old	CDS_counts_new	CDS_counts_old	CDS_change	source_new	source_old	chain_count_new	chain_count_old	fraction_disordered_new	fraction_disordered_old	has_clash_new	has_clash_old	pae_mean_new	pae_mean_old	ptm_new	ptm_old	ranking_score_new	ranking_score_old	residue_plddt_50_new	residue_plddt_50_old	residue_plddt_60_new	residue_plddt_60_old	residue_plddt_70_new	residue_plddt_70_old	residue_plddt_80_new	residue_plddt_80_old	residue_plddt_90_new	residue_plddt_90_old	residue_plddt_count_fp_new	residue_plddt_count_fp_old	residue_plddt_count_tp_new	residue_plddt_count_tp_old	residue_plddt_max_new	residue_plddt_max_old	residue_plddt_mean_new	residue_plddt_mean_old	residue_plddt_median_new	residue_plddt_median_old	residue_plddt_min_new	residue_plddt_min_old	total_residue_plddt_over_80_new	total_residue_plddt_over_80_old	Foldseek_transformed_evalue_new	Foldseek_transformed_evalue_old	alnlen_new	alnlen_old	alntmscore_new	alntmscore_old	bits_new	bits_old	evalue_new	evalue_old	fident_new	fident_old	gapopen_new	gapopen_old	lddt_new	lddt_old	mismatch_new	mismatch_old	qend_new	qend_old	qstart_new	qstart_old	query_length_new	query_length_old	query_new	query_old	target_new	target_old	taxid_new	taxid_old	taxlineage_new	taxlineage_old	taxname_new	taxname_old	tend_new	tend_old	tstart_new	tstart_old	diff_alnlen	diff_alntmscore	diff_bits	diff_CDS_counts	diff_evalue	diff_fident	diff_fraction_disordered	diff_lddt	diff_pae_max	diff_pae_mean	diff_ph-LDDT	diff_protein_length	diff_ptm	diff_residue_plddt_50	diff_residue_plddt_60	diff_residue_plddt_70	diff_residue_plddt_80	diff_residue_plddt_90	diff_residue_plddt_mean	diff_residue_plddt_median	diff_total_residue_plddt_over_80	diff_PSAURON_in_frame_score	diff_mean_out_of_frame_score	ph-LDDT_new	ph-LDDT_old	precision_new	precision_old	query_tp_count_new	query_tp_count_old	sensitivity_new	sensitivity_old	PSAURON_in_frame_score_new	PSAURON_in_frame_score_old	mean_out_of_frame_score_new	mean_out_of_frame_score_old	alignment_score	alignment_length	percent_alignment_score	IPR_max_new	IPR_total_new	IPR_evalue_min_new	IPR_max_old	IPR_total_old	IPR_evalue_min_old	IPR_transformed_evalue_min_new	IPR_transformed_evalue_min_old	diff_IPR_min_evalue	diff_IPR_transformed_min_evalue	above_90_old	above_80_old	above_70_old	above_60_old	above_50_old	above_90_new	above_80_new	above_70_new	above_60_new	above_50_new	diff_above_90	diff_above_80	diff_above_70	diff_above_60	diff_above_50
Aspergillus fumigatus str. Af293	AFU5G01050_T	changed	AFU5G01050	AFU5G01050	A4CD6414_B1DB_4315_9EB1_55CC22F40A96	425	231	1	4	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.03	0.0	0	0	3.2109785467128	3.72348156893611	0.95	0.91	0.97	0.91	2	5	1	13	13	15	48	36	356	161	0	0	418	225	98.794	98.5885714285714	93.3233935022494	90.1326242136892	95.9366666666667	94.6455555555556	40.1185714285714	48.8409090909091	404	197	128.857227034384	40.4851676924771	436.0	249.0	0.7257	0.6865	477.0	192.0	1.301e-13	8.943e-05	0.178	0.144	25.0	17.0	0.5724	0.537	279.0	167.0	397.0	221.0	9.0	3.0	388.0	218.0	afu5g01050-t_model	afu5g01050-t-p1_model	7y3w-assembly1.cif.gz_B	7y3y-assembly1.cif.gz_B	438356.0	438356.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_dothideomyceta;c_Dothideomycetes;-_Dothideomycetidae;o_Mycosphaerellales;f_Mycosphaerellaceae;g_Cercospora;s_Cercospora sojina	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_dothideomyceta;c_Dothideomycetes;-_Dothideomycetidae;o_Mycosphaerellales;f_Mycosphaerellaceae;g_Cercospora;s_Cercospora sojina	Cercospora sojina	Cercospora sojina	410.0	430.0	7.0	198.0	187.0	0.03920000000000001	285.0	-3	-8.94299998699e-05	0.034	0.03	0.03539999999999999		-0.512503022223311	0.0184454197986347	194.0	0.0399999999999999	-3	-12	-2	12	195	3.19076928856025	1.29111111111112	207	0.0009199999999999	-0.00056	0.991696322657177	0.973250902858542	0.983529411764706	0.974025974025974	388.0	212.0	1.0	0.972477064220184	0.99801	0.99709	0.0681	0.06866	230	425	54.12	397.0	713.0	2.2e-94	203.0	373.0	1.6e-46	936.575773191778	457.958800173441	-1.6e-46	478.616973018337	161	197	212	225	230	356	404	417	418	420	195	207	205	193	190
Aspergillus fumigatus str. Af293	AFU1G17100_T	changed	AFU1G17100	AFU1G17100	A649B5E5_3520_4D80_BA77_F30DB354483A	448	369	1	4	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.12	0.21	0	0	9.86676448899873	12.8507024772145	0.8	0.75	0.86	0.85	24	30	23	25	48	47	140	101	169	86	0	10	380	259	97.894	96.66125	80.4504199488508	71.6989787910073	86.8855555555556	80.34	26.5571428571429	21.8627272727273	309	187	31.4399654600278	31.3864483980674	233.0	390.0	0.2959	0.2179	74.0	60.0	0.0007178	0.0007267	0.085	0.092	11.0	25.0	0.3853	0.3593	128.0	197.0	313.0	355.0	122.0	43.0	191.0	312.0	afu1g17100-t_model	afu1g17100-t-p1_model	4zgc-assembly1.cif.gz_A	4zgc-assembly1.cif.gz_A	5833.0	5833.0	-_cellular organisms;d_Eukaryota;-_Sar;-_Alveolata;p_Apicomplexa;c_Aconoidasida;o_Haemosporida;f_Plasmodiidae;g_Plasmodium;-_Plasmodium (Laverania);s_Plasmodium falciparum	-_cellular organisms;d_Eukaryota;-_Sar;-_Alveolata;p_Apicomplexa;c_Aconoidasida;o_Haemosporida;f_Plasmodiidae;g_Plasmodium;-_Plasmodium (Laverania);s_Plasmodium falciparum	Plasmodium falciparum	Plasmodium falciparum	189.0	310.0	1.0	1.0	-157.0	0.07799999999999999	14.0	-3	-8.90000000000005e-06	-0.006999999999999992	-0.09	0.025999999999999968		-2.98393798821575	0.129875196136914	79.0	0.05	-6	-2	1	39	83	8.7514411578435	6.54555555555555	122	0.0713399999999999	-0.02137	0.87111563932756	0.741240443190646	0.848214285714286	0.70189701897019	171.0	245.0	0.895287958115183	0.78525641025641	0.97925	0.90791	0.18815	0.20952	338	469	72.07	113.0	504.0	6.2e-16	114.0	228.0	1.5e-06	152.076083105017	58.2390874094432	-1.49999999938e-06	93.8369956955743	86	187	234	259	289	169	309	357	380	404	83	122	123	121	115
Aspergillus fumigatus str. Af293	AFU2G13110_T	changed	AFU2G13110	AFU2G13110	A65C15E9_0C3F_4D3E_9047_BEC7656F1726	180	235	5	4	increase	Afum-Af293_new	Afum-Af293_old	1	1	0.41	0.54	0	0	17.6403703703704	22.3679022181983	0.6	0.47	0.8	0.74	5	2	2	3	0	1	17	21	88	79	41	73	107	104	98.0475	98.145	65.9945454545455	55.2862881888797	89.3538888888889	36.5257142857143	12.41	7.71777777777778	105	100	170.677799861229	151.25924254777	105.0	101.0	0.9879	0.9869	639.0	614.0	8.555e-18	7.483e-16	0.723	0.663	0.0	0.0	0.9247	0.9174	29.0	34.0	111.0	166.0	7.0	66.0	104.0	100.0	afu2g13110-t_model	afu2g13110-t-p1_model	7mri-assembly3.cif.gz_E	5df5-assembly3.cif.gz_C	559292.0	10116.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae;-_Saccharomyces cerevisiae S288C	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;-_Glires;o_Rodentia;-_Myomorpha;-_Muroidea;f_Muridae;-_Murinae;g_Rattus;s_Rattus norvegicus	Saccharomyces cerevisiae S288C	Rattus norvegicus	106.0	102.0	2.0	2.0	4.0	0.0010000000000000009	25.0	1	-7.39745e-16	0.05999999999999994	-0.13	0.007299999999999973		-4.72753184782791	0.132075277769213	-55.0	0.13	3	-1	-1	-4	9	10.7082572656658	52.8281746031746	5	0.19542	-0.02808	0.745644599303136	0.613569321533923	0.594444444444444	0.442553191489362	104.0	100.0	1.0	1.0	0.98981	0.79439	0.01401	0.04209	179	235	76.17	107.0	580.0	6.8e-45	107.0	573.0	2.3e-43	441.674910872938	426.382721639824	-2.232e-43	15.2921892331136	79	100	101	104	106	88	105	105	107	112	9	5	4	3	6
Aspergillus fumigatus str. Af293	AFU3G05470_T	changed	AFU3G05470	AFU3G05470	A728F884_36D2_4D17_BC5B_8E335887D09A	352	311	2	1	increase	Afum-Af293_new	Afum-Af293_old	1	1	0.82	0.98	0	0	27.437319214876	27.8706558038068	0.26	0.17	0.68	0.66	37	58	42	33	37	16	18	4	0	0	2	21	97	53	86.7571428571429	84.73	49.460067194879	45.3902104206976	44.456875	44.265	23.3490909090909	17.2572727272727	18	4	-8.46460825129332	-9.80139777745754	0.0	0.0	0.4179	0.3119	24.0	17.0	7.022	9.553	0.268	0.212	0.0	2.0	0.4808	0.4007	30.0	32.0	258.0	180.0	218.0	139.0	40.0	41.0	afu3g05470-t_model	afu3g05470-t-p1_model	4khb-assembly2.cif.gz_C	7acv-assembly1.cif.gz_A	759272.0	1496.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Sordariomycetidae;o_Sordariales;f_Chaetomiaceae;g_Thermochaetoides;s_Thermochaetoides thermophila;-_Thermochaetoides thermophila DSM 1495	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Clostridioides;s_Clostridioides difficile	Thermochaetoides thermophila DSM 1495	Clostridioides difficile	106.0	292.0	66.0	246.0	0.0	0.10599999999999998	7.0	1	-2.531	0.05600000000000002	-0.16	0.0801		-0.433336588930782	0.0	41.0	0.09	-21	9	21	14	0	4.06985677418142	0.191874999999996	14	0.01163	-0.0961999999999999	0.0	0.0	0.275568181818182	0.170418006430868	22.0	11.0	0.55	0.268292682926829	0.98	0.96837	0.12551	0.22171	236	412	57.28			10.0			10.0	-10.0	-10.0	0.0	0.0	0	4	20	53	111	0	18	55	97	134	0	14	35	44	23
Aspergillus fumigatus str. Af293	AFU3G05510_T	changed	AFU3G05510	AFU3G05510	A7705451_D7F2_4B2B_A39F_97263D8C7A5B	418	328	3	6	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.13	0.16	0	0	9.96999782514137	11.6049998140988	0.81	0.7	0.88	0.78	21	18	29	33	68	65	112	101	150	60	0	20	359	259	97.768	97.714	79.1940169958298	72.8428643985588	85.4648051948052	79.703	27.1885714285714	17.4944444444444	262	161	207.081873125329	76.9918720588188	385.0	344.0	0.7644	0.5593	755.0	265.0	1.958e-21	1.999e-08	0.251	0.2	12.0	13.0	0.6963	0.6611	186.0	159.0	417.0	328.0	42.0	2.0	375.0	326.0	afu3g05510-t_model	afu3g05510-t-p1_model	4uel-assembly1.cif.gz_A	4wlq-assembly1.cif.gz_A	9606.0	10090.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;-_Glires;o_Rodentia;-_Myomorpha;-_Muroidea;f_Muridae;-_Murinae;g_Mus;-_Mus;s_Mus musculus	Homo sapiens	Mus musculus	294.0	292.0	3.0	48.0	41.0	0.20509999999999995	490.0	-3	-1.9989999999998e-08	0.05099999999999999	-0.03	0.03520000000000001		-1.63500198895739	0.0903260951836344	90.0	0.11	3	-4	3	11	90	6.35115259727104	5.76180519480519	101	-0.0002799999999999	-0.0262599999999999	0.880847691322238	0.790521596138603	0.858851674641148	0.789634146341463	339.0	258.0	0.904	0.791411042944785	0.999	0.99928	0.0883	0.11456	293	446	65.7	251.0	998.0	4.4e-74	184.0	669.0	7.5e-35	733.565473235138	341.249387366083	-7.5e-35	392.316085869055	60	161	226	259	277	150	262	330	359	380	90	101	104	100	103
Aspergillus fumigatus str. Af293	AFU3G06420_T	changed	AFU3G06420	AFU3G06420	A7870821_81C8_4DEE_9702_634BEA36E674	134	151	3	4	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.46	0.51	0	0	13.1927210960125	18.1080961361344	0.61	0.51	0.83	0.77	15	5	12	12	18	19	32	32	48	31	0	7	110	94	98.014	96.972	78.9323825326829	66.3268820871917	84.2261111111111	74.1227272727273	37.5744444444444	20.1955555555556	80	63	51.6285365609094	43.6021478701318	100.0	101.0	0.6281	0.6076	189.0	168.0	6.873e-06	4.363e-05	0.42	0.346	1.0	1.0	0.8055	0.794	54.0	57.0	101.0	127.0	2.0	36.0	99.0	91.0	afu3g06420-t_model	afu3g06420-t-p1_model	2k6b-assembly1.cif.gz_A	6iqc-assembly1.cif.gz_A	9606.0	273057.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	-_cellular organisms;d_Archaea;-_TACK group;p_Thermoproteota;c_Thermoprotei;o_Sulfolobales;f_Sulfolobaceae;g_Saccharolobus;s_Saccharolobus solfataricus;-_Saccharolobus solfataricus P2	Homo sapiens	Saccharolobus solfataricus P2	98.0	102.0	3.0	2.0	-1.0	0.020499999999999963	21.0	-1	-3.6757e-05	0.07400000000000001	-0.0499999999999999	0.011499999999999955		-4.91537504012189	0.107647849709987	-17.0	0.0999999999999999	10	0	-1	0	17	12.6055004454912	10.1033838383838	17	0.0001499999999999	0.15886	0.87173744508571	0.764089595375723	0.82089552238806	0.622516556291391	92.0	90.0	0.929292929292929	0.989010989010989	0.99993	0.99978	0.16783	0.00897	102	178	57.3	134.0	595.0	4.7e-35	95.0	339.0	5.5e-27	343.279021420643	262.596373105058	-5.499999953e-27	80.6826483155853	31	63	82	94	99	48	80	98	110	125	17	17	16	16	26
Aspergillus fumigatus str. Af293	AFU6G03100_T	changed	AFU6G03100	AFU6G03100	A7ACC44A_ACA6_459A_874B_5EA60CBA398E	239	306	3	1	increase	Afum-Af293_new	Afum-Af293_old	1	1	0.0	0.14	0	0	2.85564153288633	10.0406958861976	0.94	0.8	0.94	0.87	0	8	1	7	10	19	38	56	189	165	0	0	238	247	98.556	97.76625	93.0921335365007	81.5268196920182	95.015	90.56625	48.935	29.5207142857143	227	221	85.2622116535328	86.4092377394074	268.0	213.0	0.6355	0.6534	259.0	281.0	2.977e-09	2.286e-09	0.186	0.206	16.0	11.0	0.5532	0.5761	143.0	124.0	234.0	222.0	6.0	24.0	228.0	198.0	afu6g03100-t_model	afu6g03100-t-p1_model	1njr-assembly1.cif.gz_A	1njr-assembly1.cif.gz_A	4932.0	4932.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae	Saccharomyces cerevisiae	Saccharomyces cerevisiae	232.0	183.0	1.0	2.0	55.0	-0.017900000000000027	-22.0	2	6.91e-10	-0.01999999999999999	-0.14	-0.02289999999999992		-7.18505435331129	0.104594341518153	-67.0	0.14	-8	-6	-9	-18	24	11.5653138444825	4.44875	6	0.00416	0.03243	0.9979035639413	0.893309222423147	0.99581589958159	0.80718954248366	228.0	198.0	1.0	1.0	0.98155	0.97739	0.12016	0.08773	237	306	77.45	216.0	428.0	1.6999999999999998e-53	227.0	441.0	2.7e-53	527.695510786217	525.68636235841	-1e-53	2.00914842780708	165	221	240	247	255	189	227	237	238	238	24	6	-3	-9	-17
Aspergillus fumigatus str. Af293	AFU7G05590_T	changed	AFU7G05590	AFU7G05590	A81F0ED9_9585_4EA4_85E3_18E48E93F99F	429	251	3	10	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.03	0.08	0	0	4.95806695247255	7.44398184155807	0.93	0.83	0.94	0.87	10	33	14	8	42	24	67	53	288	128	0	0	411	213	98.7671428571429	98.16	88.8842581702809	83.79732603784	93.46125	90.2227272727273	31.25	43.6018181818182	355	181	290.785736589847	88.3923143813887	293.0	119.0	0.855	0.8281	962.0	334.0	8.345e-30	1.448e-09	0.409	0.428	9.0	4.0	0.7528	0.7223	144.0	59.0	287.0	113.0	4.0	1.0	283.0	112.0	afu7g05590-t_model	afu7g05590-t-p1_model	6du4-assembly1.cif.gz_A	6du4-assembly1.cif.gz_A	9606.0	9606.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	Homo sapiens	Homo sapiens	277.0	283.0	5.0	168.0	174.0	0.026900000000000035	628.0	-7	-1.448e-09	-0.019000000000000017	-0.05	0.03049999999999997		-2.48591488908552	0.190962881279749	178.0	0.1	-23	6	18	14	160	5.08693213244091	3.23852272727272	174	-0.00039	-0.0252999999999999	0.961341729854774	0.770378848575026	0.958041958041958	0.848605577689243	273.0	79.0	0.964664310954064	0.705357142857143	0.99494	0.99533	0.20876	0.23406	250	429	58.28	424.0	1734.0	2.4e-108	249.0	467.0	7.6e-49	1076.19788758288	481.191864077192	-7.6e-49	595.006023505692	128	181	205	213	246	288	355	397	411	421	160	174	192	198	175
Aspergillus fumigatus str. Af293	AFU8G01360_T	changed	AFU8G01360	AFU8G01360	A9EC1291_6771_4672_B88C_6CCAC0146969	622	448	7	11	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.04	0.11	0	0	5.37578731609475	13.9980618223852	0.93	0.73	0.95	0.79	3	12	12	41	22	91	103	132	463	70	0	10	600	334	98.818	96.1985714285714	90.9356588484756	70.1526796569006	95.0649107142857	77.9808928571429	30.12125	19.3527272727273	566	202	212.629664686661	86.6999229912724	444.0	152.0	0.6806	0.7311	605.0	268.0	5.457999999999999e-22	2.138e-09	0.2	0.309	20.0	7.0	0.5657	0.4912	277.0	82.0	619.0	367.0	202.0	225.0	417.0	142.0	afu8g01360-t_model	afu8g01360-t-p1_model	6c62-assembly1.cif.gz_A	6c62-assembly1.cif.gz_A	47660.0	47660.0	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;-_unclassified Pseudomonas;s_Pseudomonas sp. ADP	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;-_unclassified Pseudomonas;s_Pseudomonas sp. ADP	Pseudomonas sp. ADP	Pseudomonas sp. ADP	455.0	201.0	64.0	64.0	292.0	-0.05049999999999999	337.0	-4	-2.13799999999945e-09	-0.10899999999999999	-0.07	0.07449999999999996		-8.62227450629046	0.225587003012504	174.0	0.2	-9	-29	-69	-29	393	20.7829791915749	17.0840178571429	364	9.9999999999989e-05	-0.0532099999999999	0.981996726677578	0.756409723665074	0.964630225080386	0.745535714285714	417.0	109.0	1.0	0.767605633802817	0.99641	0.99631	0.11489	0.1681	371	684	54.24	418.0	1013.0	9.68e-54	122.0	355.0	1.57e-22	530.141246426916	218.041003475908	-1.57e-22	312.100242951008	70	202	293	334	346	463	566	588	600	603	393	364	295	266	257
Aspergillus fumigatus str. Af293	AFU1G10610_T	changed	AFU1G10610	AFU1G10610	AAB8DE22_BDFE_45A4_AEB7_150B1836BF37	182	174	2	1	increase	Afum-Af293_new	Afum-Af293_old	1	1	0.71	0.71	0	0	22.7195870064002	22.4123232923768	0.36	0.36	0.72	0.72	35	17	17	13	12	19	32	30	13	7	2	25	74	69	95.04	93.48	58.4415501581752	53.1386138913768	53.6178571428572	49.5157142857143	22.7127272727273	15.3990909090909	45	37	5.23168371487739	-0.346284566253204	0.0	0.0	0.4272	0.4195	55.0	44.0	0.2998	1.083	0.148	0.095	4.0	4.0	0.6128	0.5082	75.0	64.0	116.0	150.0	25.0	25.0	91.0	125.0	afu1g10610-t_model	afu1g10610-t-p1_model	5u0p-assembly1.cif.gz_V	5wd8-assembly2.cif.gz_B	4896.0	933093.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_Taphrinomycotina;c_Schizosaccharomycetes;o_Schizosaccharomycetales;f_Schizosaccharomycetaceae;g_Schizosaccharomyces;s_Schizosaccharomyces pombe	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Legionellales;f_Legionellaceae;g_Legionella;s_Legionella pneumophila;-_Legionella pneumophila serogroup 12;-_Legionella pneumophila subsp. pneumophila ATCC 43290	Schizosaccharomyces pombe	Legionella pneumophila subsp. pneumophila ATCC 43290	118.0	82.0	20.0	7.0	0.0	0.00770000000000004	11.0	1	-0.7832	0.05299999999999999	0.0	0.10460000000000003		0.307263714023399	0.0	8.0	0.0	18	4	-7	2	6	5.30293626679833	4.10214285714287	8	0.0003	-0.01106	0.0	0.0	0.406593406593407	0.396551724137931	60.0	61.0	0.659340659340659	0.488	0.99975	0.99945	0.02185	0.03291	122	224	54.46			10.0			10.0	-10.0	-10.0	0.0	0.0	7	37	56	69	86	13	45	57	74	109	6	8	1	5	23
Aspergillus fumigatus str. Af293	AFU1G13120_T	changed	AFU1G13120	AFU1G13120	ACB28A49_8104_4DCA_956D_AD6C82AFEC7D	254	143	2	1	increase	Afum-Af293_new	Afum-Af293_old	1	1	0.98	1.0	0	0	27.8304885609771	23.0155948946159	0.18	0.24	0.67	0.74	46	65	58	18	11	13	10	2	18	0	2	0	97	33	97.6925	80.8458333333333	53.7683769926486	54.3826320119275	52.3481944444444	53.9955555555556	22.8809090909091	31.1727272727273	28	2	-2.28400358703005	-3.05566313515304	0.0	0.0	0.2462	0.1969	29.0	22.0	1.692	2.021	0.123	0.136	2.0	4.0	0.5747	0.7166	59.0	112.0	254.0	143.0	186.0	12.0	68.0	131.0	afu1g13120-t_model	afu1g13120-t-p1_model	1fi8-assembly1.cif.gz_C	8ga8-assembly1.cif.gz_H	562.0	4932.0	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae	Escherichia coli	Saccharomyces cerevisiae	78.0	141.0	7.0	4.0	0.0	0.04930000000000001	7.0	1	-0.329	-0.013000000000000012	-0.02	-0.14190000000000003		4.81489366636124	0.0	111.0	-0.06	-19	40	-2	8	18	-0.614255019278822	-1.64736111111112	26	0.7067	-0.0133999999999999	0.0	0.0	0.381889763779528	0.230769230769231	20.0	29.0	0.294117647058824	0.221374045801527	0.71975	0.01305	0.08619	0.09959	53	323	16.41			10.0			10.0	-10.0	-10.0	0.0	0.0	0	2	15	33	98	18	28	39	97	143	18	26	24	64	45
